Item ID,Description,,Case Weight old,Weight,Case Price Per Pound,price,,,,,,,,,
MIXED CHOCOLATE,,,,,,$0.00,,,,,,,,,
61421,Dark & Milk Chocolate Bridge Mix,,30 lb.,30 ,$6.18,$185.35,,,,,,,,,
62641,Tuxedo Pretzels (Milk Chocolate and Yogurt),,20 lb.,20 ,$5.27,$105.30,,,,,,,,,
SMOOTH AND MELTY MINTS,,,,,,$0.00,,,,,,,,,
66111,Smooth & Melty Mints – Pastel – Large,,25 lb.,25 ,$5.96,$148.90,,,,,,,,,
66121,Smooth & Melty Mints – Pastel – Mini ,,25 lb.,25 ,$6.16,$153.90,,,,,,,,,
.,,,,,,$0.00,,,,,,,,,
64111,1000 ct. Milk Chocolate Chips,,25 lb.,25 ,$6.76,$168.90,,,,,,,,,
64141,700 ct. White Chocolate Chips,,25 lb.,25 ,$4.07,$101.65,,,,,,,,,
64151,900 ct. Bittersweet Chocolate Chips ,,25 lb.,25 ,$2.40,$60.00,,,,,,,,,
62781,Butterfinger Topping Chopped,,10 lb.,10 ,$7.14,$71.35,,,,,,,,,
64161,Cacao Nibs - NEW! ,,40 lb.,40 ,$4.44,$177.60,,,,,,,,,
62771,Cookies N Cream Topping Chopped,,10 lb.,10 ,$4.74,$47.35,,,,,,,,,
62701,Heath Bits Chopped ,,50 lb.,50 ,$5.69,$284.45,,,,,,,,,
64211,Mini Semisweet Chocolate Gems,,36 lb.,36 ,$6.87,$247.20,,,,,,,,,
62481,Milk Chocolate Teenies (Mini M&M Style) ,,30 lb.,30 ,$6.73,$202.00,,,,,,,,,
64231,Mini Reese’s Pieces,,25 lb.,25 ,$6.47,$161.65,,,,,,,,,
64241,Praline Pecan Bites,,20 lb.,20 ,$11.09,$221.80,,,,,,,,,
CLASEN CHOCOLATE,,,,,,$0.00,,,,,,,,,
65211,Alpine Dark Melting Wafers ,,25 lb.,25 ,$4.00,$100.00,,,,,,,,,
65221,Alpine Milk Melting Wafers ,,25 lb.,25 ,$4.00,$100.00,,,,,,,,,
65241,Alpine Bright White Melting Wafers ,,25 lb.,25 ,$4.22,$105.55,,,,,,,,,
65231,Alpine White Melting Wafers ,,25 lb.,25 ,$4.00,$100.00,,,,,,,,,
MARICH ,,,,,,$0.00,,,,,,,,,
63451,Marich Assorted Green Bean Jelly Beans,,10 lb.,10,$4.05,$40.50,,,,,,,,,
63831,Marich Celestial Sours,,10 lb.,10,$3.75,$37.50,,,,,,,,,
63511,Marich Chocolate Berry Blues,,10 lb.,10,$6.60,$66.00,,,,,,,,,
63341,Marich Chocolate Espresso Beans,,10 lb.,10 ,$6.40,$64.00,,,,,,,,,
63351,Marich Chocolate Malt Balls,,15 lb.,15 ,$5.05,$75.75,,,,,,,,,
63521,Marich Chocolate Rapberries,,10 lb.,10 ,$8.10,$81.00,,,,,,,,,
63181,Marich Coconut Curry Cashews,,10 lb.,10,$6.90,$69.00,,,,,,,,,
63161,Marich Dark Chocolate Almonds,,10 lb.,10 ,$6.40,$64.00,,,,,,,,,
63141,Marich Dark Chocolate Chipotle Almonds,,10 lb.,10 ,$6.40,$64.00,,,,,,,,,
63661,Marich Dark Choc. Sea Salt Caramel Popcorn ,,7 lb.,7,$5.60,$39.20,,,,,,,,,
63221,Marich Dark Chocolate Sea Salt Caramels ,,10 lb.,10,$5.60,$56.00,,,,,,,,,
63151,Marich Milk Chocolate Almonds,,10 lb.,10 ,$6.40,$64.00,,,,,,,,,
63171,Marich Milk Chocolate Peanuts,,10 lb.,10 ,$4.85,$48.50,,,,,,,,,
63541,Marich Milk Chocolate Raisins,,10 lb.,10 ,$4.85,$48.50,,,,,,,,,
63651,Marich Milk Choc. Sea Salt Caramel Popcorn ,,7 lb.,7,$5.60,$39.20,,,,,,,,,
63641,Marich Natural Holland Mints,,10 lb.,10 ,$4.90,$49.00,,,,,,,,,
63441,Marich Pastel Cherries,,10 lb.,10 ,$6.60,$66.00,,,,,,,,,
63111,Marich Pastel Jordan Almonds,,10 lb.,10 ,$5.60,$56.00,,,,,,,,,
63731,Marich Raspberry Trufflz,,10 lb.,10 ,$5.80,$58.00,,,,,,,,,
63231,Marich Red Apple Caramels,,10 lb.,10 ,$5.60,$56.00,,,,,,,,,
63851,Marich Triple Chocolate Toffee ,,10 lb.,10,$6.40,$64.00,,,,,,,,,
63321,Marich Tuxedo Beans,,10 lb.,10 ,$6.40,$64.00,,,,,,,,,
,,,,,,,,,,,,,,,
