Item ID,Description,,Case Weight old,Weight,Case Price Per Pound,price,,,,,,,,,
2411,"Better Better Cheddar: Chili Cheese Corn Jacks, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers.",,20 lb.,20 ,$4.49,$89.75,,,,,,,,,
2111,"Cajun Hot Mix: Cajun Hot Corn Sticks, Sesame Sticks, Chili Rice Crackers, Mixed Rice Crackers, Hot and Spicy Peanuts.",,25 lb.,25 ,$3.95,$98.80,,,,,,,,,
2621,"Cherry Nut Harvest: Diced Pineapple, Cranberries, Cherries, Walnuts Raw, Unblanched Almonds Raw, Pecan Halves Raw, Large Cashews R/No, Cinnamon Toffee Peanuts.",,30 lb.,30 ,$7.98,$239.50,,,,,,,,,
2631,"Crazy for Cranberries: Cranberries, White Chocolate Chips, Unblanched Almonds R/No, Cashew Pieces R/No, Blanched Virginia Peanuts R/No.",,30 lb.,30 ,$5.56,$166.80,,,,,,,,,
2731,"Delight: Dark Raisins, Pineapple Chunks, Diced Papaya, Apricots, Golden Raisins, Unblanched Almonds Raw, Date Pieces, Walnuts Raw, Cashew Pieces Raw.",,30 lb.,30 ,$4.71,$141.40,,,,,,,,,
2121,"Fiesta Mix: Honey Roasted Sesame Sticks, Cajun Hot Corn Sticks, Cheddar Cheese Goldfish Crackers, Mini Pretzel Twists.",,20 lb.,20 ,$3.91,$78.15,,,,,,,,,
2741,"For Your Health: Cranberries, Unblanched Almonds Raw, Walnuts Raw.",,20 lb.,20 ,$8.65,$172.90,,,,,,,,,
2641,"Gorp: Ernies (M&M Style Candy), Dark Raisins, Blanched Virginia Peanuts R/No, Walnuts Raw.",,30 lb.,30 ,$4.22,$126.55,,,,,,,,,
2211,"Happy Hour Mix: Mini Pretzel Twists, Toasted Corn Nuts, Cheddar Sesame Sticks, Cheddar Cheese Goldfish Crackers, Blanched Virginia Peanuts R&S, Assorted Flavor Sesame Sticks.",,20 lb.,20 ,$3.96,$79.20,,,,,,,,,
2131,"Hot Creole Crunch: Cajun Hot Corn Sticks, Chili Rice Crackers, Hot and Spicy Peanuts, Spanish Peanuts R&S, Toasted Corn Nuts, Pepitas (Pumpkin Seeds) R&S.",,25 lb.,25 ,$4.09,$102.20,,,,,,,,,
